,Tweet,Label
10,"@Tan_Mar3M @ChusnulCh__ Ayo Dukung @puanmaharani_ri utk maju menjadi RI-1 2024.
Anak dr Ketum PDIP, Cucu dr Proklamator kemerdekaan RI.

Tolak Den Bokep menuju RI-1

Contoh Dukungan utk Mba Puan
ðââ",1
11,"Ragam Survei Charta: 57% Tolak Prabowo-Jokowi di 2024; Puan Potensi Jadi Beban: Yunarto menjelaskan partai tidak hanya menggunakan hasil survei sebagai pertimbangan dalam memilih capres yang akan diusung. Ia menilai, hal itu merupakan bagian dariâ¦ https://t.co/5QMsYWXS6E",1
12,"Hanya 2 Syarat untuk Mendongkrak elektabilitas Puan &amp; bisa bersaing di Pilpres 2024,
1) TOLAK kenaikan BBM
2) BATALKAN IKN

Ini kuncinya !!!! https://t.co/u0wKPw2iXN https://t.co/gZ9vQUiBMl",1
13,"Eksis wong cilik tp suka nyakiti lewat BBM naik, dulu tolak BLT skrg tiru2 prog.BLT SBY, dia cuma org titipan si mata sipit. Satu kata kawan2 ""Tolak capres PDIP 2024"" ganjar, puan, hasto https://t.co/WBGEJhChdv",1
14,Rahasia Agar Puan Menang di Pilpres 2024: 'Tolak Kenaikan BBM!' https://t.co/V058jIk6GT,1
15,Tolak Puan Capres 2024 https://t.co/k6r9WP2YFw,1
16,@alextham878 Tolak Puan Capres 2024,1
17,@BossssKR Galang dukungan tolak Puan Capres 2024,1
18,@Santo09054972 @UkanIbrahim @aniesbaswedan TOLAAKK.!!! Dengan keras jika Puan disandingkan dengan Anies Baswedan pada pilpres 2024. Sampaikan kepada mereka bahwa Anies tidak pantas dan tidak elok jika berpasangan dengan Puan sang Putri mahkota dari Partai berbaju merah. Aku dan para pendukung Anies Tidak ridho. Tolak Puan,1
19,"Memasangkan Anies-Puan atau Anies-Ganjar di pilpres 2024 yg diusulkan Surya Paloh itu si bukannya menyatukan tetapi lebih ke menyakitkan. Menyakitkan pendukung Ganjar dan menyenangkan pendukung Anies. Enak di Anies gak enak di Ganjar. Tolak usulan Surya Paloh itu, percuma...",1
20,"Dan artinya pula tdk ada alasan bicara amandemen pasal UUD 45 ttg periode jabatan presiden. Yg msh bicara 3 periode patut dianggap sabotase pemilu. Dan MPR wajib tolak wacana tsb.

Puan: Tahapan Pemilu 2024 Resmi Diluncurkan, Tak Ada Bahas Penundaan https://t.co/eDiNhoHx9K",1
21,"Tolong pak @aniesbaswedan tolak Ganjar dan Puan. Jika pak Anies ingin bertarung, sebaiknya duet dengan kader partai lain. Menang bisa Indonesia baru
Kalah akan terhormat
PDIP sebaiknya dijadikan oposisi 2024. https://t.co/29N0ZVFfg4",1
22,"Puan Minta Polemik Penundaan Pemilu 2024 Dihentikan, Pengamat: Jokowi Tegaskan Tolak Penundaan https://t.co/cbXE5Z6x6r",1
23,"âDemiâ Ganjar, Jokowi Disebut Bakal Tolak Puan-Capres PDIP di PemiluÂ 2024 https://t.co/uDoedZiLtS",1
24,"âDemiâ Ganjar, Jokowi Disebut Bakal Tolak Puan-Capres PDIP di Pemilu 2024 https://t.co/uDoedZjjjq via @Indopolitika",1
25,Tolak Tunda Pemilu 2024 Puan Dinilai Sebagai Negarawan https://t.co/BunIW6ZNC1,1
26,"Tegas! Puan Maharani Tolak Penundaan Pemilu 2024
https://t.co/2TcOMLksmg",1
27,"Ibu puan Maharani ini sangat peduli nasip rakyat ya #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/cE4EucNLNo",1
28,"Puan menjadi salah satu sosok keberhasilan Asian Games dan Pra games 2018, rehabilitasi pasca bencana, revitalisasi pendidikan vokasional, kebijakan kesehatan yang monumental, cita-cita Indonesia Emas, Indonesia Hebat. #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
29,"Sobat puan, faktanya, Ketua DPR RI Puan Maharani memiliki segudang prestasi yang patut dibanggakan lho!  #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
30,"Keberadaan masjid At-Tauifq yang dibangun Puan Maharani di kawasan Lenteng Agung, Jakarta, dinilai sebagai bentuk komunikasi positif ketua DPR itu ke kalangan umat Islam.  #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
31,Ketua DPR RI Puan Maharani mengusulkan agar IPU membentuk task force (satgas) yang bertugas untuk mendorong terciptanya solusi damai atas konflik yang terjadi antara kedua negara. https://t.co/I8BOR9po5a #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
32,"âSelain mengadopsi Deklarasi Nusa Dua, sidang IPU ke-144 juga menyepakati Emergency Item dalam rangka memberikan solusi atas konflik Rusia dan Ukraina.â â Puan Maharani https://t.co/I8BOR9po5a #JokowiBersamaPuan Tolak Tunda Pemilu 2024",0
33,"âBahagia sekali rasanya bisa ikut menorehkan sejarah dalam membangun komitmen dan kerja sama global guna mengatasi perubahan iklim dan berupaya menciptakan suatu dunia yang sehat, tenteram dan sejahtera.â â Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
34,"âSidang IPU ke-144 yang dilaksanakan pada 20-24 Maret 2022 telah menghasilkan Deklarasi Nusa Dua, yakni sebuah kesepakatan untuk memobilisasi aksi parlemen dalam mitigasi dan adaptasi perubahan iklim.Puan Maharani https://t.co/1zR0L6zpT0 #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
35,"Ketua DPR RI Puan Maharani pernah berkuliah di Universitas Indonesia, jurusan Komunikasi Massa. Sewaktu kuliah, Puan pernah terjun langsung menjadi wartawan pada saat magang di majalah Forum Keadilan. #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
36,"âTutup segala potensi kelalaian dan peyimpangan di lapangan. Apalagi di tengah bulan Ramadan, mayoritas masyarakat Indonesia sedang ingin beribadah dengan tenang,â -- Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
37,"Puan mengingatkan, agar menjadi solusi jangka pendek menjelang Lebaran, BLT minyak goreng harus dilakukan dengan cepat, namun tepat sasaran. #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
38,"âKami mengapresiasi langkah pemerintah untuk menyalurkan BLT minyak goreng, terutama di Bulan Ramadan dan menjelang Lebaran, di mana kebutuhan masyarakat terhadap berbagai komoditas, termasuk minyak goreng, cukup tinggi.â --Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
39,Puan Maharani menerima penghargaan sebagai Bintang Bhayangkara Utama dari Polri. Puan juga menerima penghargaan dari majalah Her Times pada tahun 2019 sebagai Eminent Women of the year. #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
40,"Ketika masih menjabat Menko PMK, Puan Maharani pernah menerima anugerah penghargaan Eminent Women of the Year 2019 dari Majalah Her Times.  #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
41,"Tak hanya dari instansi pemerintahan, Puan juga pernah mendapat penghargaan dari lembaga non-pemerintahan, salah satunya dari Museum Rekor Dunia Indonesia (MURI). #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
42,Brevet itu diserahkan Kepala BIN Jenderal (Pol) Budi Gunawan kepada Puan Maharani  #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
43,"Megawati dan Puan memang sejak dulu menaruh perhatian pada umat islam. Hal itu bisa dilihat, salah satunya dari pembangunan Masjid At Taufiq. #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
44,"Pembangunan Masjid At Taufiq di Kantor DPP PDI-Perjuangan, di Lenteng Agung, Jakarta Selatan, merupakan inisiatif dari Puan Maharani.  #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
45,"âPerkuat pelaksanaan 3T khususnya tracing harus makin diupayakan dengan maksimal. Karena dengan tracing yang baik, penyebaran virus dapat diperkecil.â  --Puan Maharani  #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
46,"âKami keluarga, saya khususnya, selalu dicekoki hal-hal yang berkaitan dengan Islam Nusantara dan Islam Berkemajuan,â kata Mbak Puan. https://t.co/XIEp8Vugqr #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
47,Rekaman pada Juni 2016 itu kembali ramai setelah akun Sahabat Mbak Puan di media sosial mengunggahnya Sabtu (2/4). https://t.co/rMooEUtgxr #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
48,Puan Maharani: Kami Sekeluarga Selalu Ditanamkan Tentang Islam Nusantara Yang Berkemajuan https://t.co/1izHwOBjRp #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
49,"âSaya sadari pembahasan RUU TPKS diwarnai banyak dinamika sejak awal diusulkan tahun 2016. Pencapaian ini adalah keberhasilan kita seluruh bangsa Indonesia,â âPuan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
50,Pengamat: Puan Maharani Konsisten Perjuangkan RUU TPKS Sejak Dulu https://t.co/GoP07ozz7W https://t.co/Dnez0tF1E1 #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
51,Puan Maharani dinilai Penuhi Harapan Kaum Perempuan melalui UU TPKS https://t.co/M6aY2Nwk9c https://t.co/ndCaIBnAis #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
52,Puan Maharani Jamin Ketersediaan BBM Tercukupi https://t.co/JiJeqKcP8d https://t.co/9BwHDabuaY #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
53,"âRUU TPKS akan dibawa ke pembicaraan tingkat II untuk disahkan dalam Rapat Paripurna DPR terdekat. Selangkah lagi, buah dari perjuangan panjang ini akan terealisasi,â âPuan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
54,"âRegulasi yang disahkan negara harus berfungsi efektif untuk menjamin perlindungan terhadap perempuan,â  --Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
55,"Ketua DPR RI Puan Maharani  juga menjadi Delegasi RI pada International Dialogue on Revitalized global Partnership at the 70th UN General Assembly, New York. #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
56,"Puan menjadi Ketua Delegasi RI pada Pembukaan Sea games XXVIII, Singapore dan pada tahun yang sama Puan menjadi Delegasi RI pada ceremony of World War II 70th Anniversary Commemoration, Beijing #JokowiBersamaPuan Tolak Tunda Pemilu 2024",0
57,"Pada 2015, Puan juga pernah menjadi Delegasi RI pada 3rd United Nation World Conference on Disaster Risk Reduction, Sendai, Jepang. #JokowiBersamaPuan Tolak Tunda Pemilu 2024",0
58,"Selain itu, pada 2019, Puan pimpin delegasi Indonesia dalam Inter-Parliamentary Union (IPU) ke-6 di Tokyo, Jepang.  #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
59,"Puan Maharani: Bicara Pemulihan Ekonomi, Kok Harga Komoditas dan BBM Meningkat https://t.co/1CXnnrQGIM https://t.co/xTrTON0fmq #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
60,"Puan Maharani: Jangan Sampai Pemerintah Bicara Pemulihan Ekonomi, Harga BBM Justru Naik https://t.co/0nRWOXH86p https://t.co/RYarwphz4w #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
61,"Bersama 4 ketua parlemen negara lain, Puan memimpin jalannya forum yang bertema Women at The Centre: From Confronting The Pandemic to Preserving Achievement in Gender responsive Recovery. #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
62,"Puan Maharani: Pemulihan Ekonomi Harus Benar-Benar Dirasakan Rakyat, Jangan Hanya di Atas Kertas https://t.co/xVnZd0Ttkn https://t.co/ivxTy4wKRh #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
63,RUU TPKS Diharapkan Bisa Disahkan Ketua DPR RI Puan Maharani pada April Ini https://t.co/X6pdj0eq5e https://t.co/oAt2Lk0vdm #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
64,Sikap Mbak Puan yang membangun masjid At Taufik dinilai sebagai simbolkan dirinya dekat dengan umat Islam. https://t.co/MVndYGXvUk #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
65,"Puan menjadi salah satu sosok keberhasilan Asian Games dan Pra games 2018, rehabilitasi pasca bencana, revitalisasi pendidikan vokasional, kebijakan kesehatan yang monumental, cita-cita Indonesia Emas, Indonesia Hebat. #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
66,Puan menerima penghargaan dari majalah Her Times pada tahun 2019 sebagai Eminent Women of the year. #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
67,"Sobat puan, faktanya, Ketua DPR RI Puan Maharani memiliki segudang prestasi yang patut dibanggakan lho!  #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
68,"âPemulihan ekonomi rakyat sekarang ini lebih penting untuk dibicarakan di ruang publik,â âPuan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
69,"âKami tentu berharap para menteri mengikuti perintah Presiden, sehingga bisa lebih fokus membantu Presiden mengatasi berbagai persoalan bangsa, khususnya kenaikan berbagai harga komoditas yang memberatkan rakyat saat ini,â âPuan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
70,"Ketua DPR RI Puan Maharani berharap para menteri fokus mengatasi berbagai persoalan, khususnya kenaikan berbagai harga komoditas belakangan ini. #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
71,Ketua DPR RI Puan Maharani turut berbicara soal arahan Presiden Jokowi yang melarang para menterinya bicara soal wacana penundaan pemilu atau perpanjangan masa jabatan presiden. Puan mendukung sikap Jokowi tersebut. #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
72,Keberadaan UU TPKS kata Puan Maharani akan menjadi payung hukum untuk merehabilitasi pelaku serta sebagai jaminan agar kekerasan seksual tidak kembali berulang. #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
73,"Puan menyebut, kehadiran UU TPKS nantinya menjadi wujud keberpihakan negara dalam mencegah segala bentuk kekerasan seksual. #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
74,"âSaya sadari pembahasan RUU TPKS diwarnai banyak dinamika sejak awal diusulkan tahun 2016. Pencapaian ini adalah keberhasilan kita seluruh bangsa Indonesia,â âPuan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
75,Ketua DPR RI Puan Maharani berterima kasih kepada seluruh pihak yang terus berpartisipasi memperjuangkan RUU TPKS hingga titik akhir. #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
76,Secara khusus Puan mendedikasikan pengesahan RUU TPKS akan sebagai hadiah bagi kaum perempuan dalam menyambut peringatan Hari Kartini. #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
77,"Pada 2018, Puan menerima Anugerah Bintang Bhayangkara Utama dari Kapolri. Selanjutnya pada 2019, Puan menerima Anugerah Pers 2019 Jawa Tengah Bidang Pemerintahan, khususnya diseminasi dan Implementasi Gerakan Revolusi Mental. #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
78,"Selain itu, Puan juga pernah menerima prestasi Democracy Award 2016 dari rakyat Merdeka Online. #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
79,"Pada 2015, Ketua DPR RI Puan Maharani  Menteri Termuda dalam Kabinet Kerja Jokowi-JK (MURI) dan Perempuan Pertama yang menjabat Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan (MURI). #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
80,"Mulai dari 2013, Ketua DPR RI Puan Maharani adalah Pemrakarsa Pagelaran Wayang Kulit dengan kelir terpanjang (MURI) lho guys! #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
81,Ketua DPR RI Puan Maharani menorehkan prestasi gemilang yang patut diacungi jempol.  #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
82,"Puan menjadi salah satu sosok keberhasilan Asian Games dan Pra games 2018, rehabilitasi pasca bencana, revitalisasi pendidikan vokasional, kebijakan kesehatan yang monumental, cita-cita Indonesia Emas, Indonesia Hebat. #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
83,Puan menerima penghargaan dari majalah Her Times pada tahun 2019 sebagai Eminent Women of the year. #JokowiBersamaPuan Tolak Tunda Pemilu 2024,1
84,"Pada 2018, Puan Maharani menerima penghargaan sebagai Bintang Bhayangkara Utama dari Polri. #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
85,"Pertama, Puan Maharani tercatat sebagai Menteri Koordinator perempuan pertama, sekaligus yang termuda sepanjang sejarah Indonesia.  #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
86,"Sobat puan, faktanya, Ketua DPR RI Puan Maharani memiliki segudang prestasi yang patut dibanggakan lho!  #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
87,"Puan Maharani terlahir sebagai keturunan proklamator, yang mana merupakan Presiden Republik Indonesia pertama, Soekarno.  #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
88,"pertemuan kepala negara dengan Puan terjadi setelah  memperingatkan menterinya untuk tidak lagi berwacana di publik terkait penundaan pemilu dalam Rapat Kabinet Paripurna di Istana Merdeka, 

#JokowiBersamaPuan
Tolak Tunda Pemilu 2024
https://t.co/csMehVZmTj",1
89,"â Khususnya bagi penyintas dalam konflik, perempuan bisa bersama-sama bergerak menciptakan keadilan sebab pemenuhan keadilan dan hak-hak perempuan juga menjadi amanat dalam resolusi PBB,â  --Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
90,"Tetap semangat Ibu Puan dalam berupaya menyatukan Agama dan Ilmu
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/IyDYlywjmF",1
91,"Apresiasi Bu Puan kepada Bapak Presiden Jokowi berdampak positif untuk DPR
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/V3yh83rvOB",1
92,"puan maharani pastikan RUU TPKS dibawa ke paripurna 14 april 2022
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/HvEjjM33pM",1
93,"Puan menjelaskan, yang dibutuhkan rakyat saat ini bukanlah perbicangan penundaan pemilu atau perpanjangan presiden, tapi bagaimana harga-harga sembako tidak melonjak dan juga mudah didapatkan.
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/0D3UYdtgUC",1
94,"Dengan presiden melarang menterinya berbicara isu penundaan pemilu, Hendra menduga telah terjadi kesepahaman antara Puan dan Jokowi, yakni sama-sama menolak penundaan pemilu.
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/lxFeEEbmdQ",1
95,"âSaya sadari pembahasan RUU TPKS diwarnai banyak dinamika sejak awal diusulkan tahun 2016. Pencapaian ini adalah keberhasilan kita seluruh bangsa Indonesia,â âPuan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024",1
96,"Mantab Puan mendukung Jokowi soal larang menteri bahas penundaan pemilu 
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/cmdP4qFd6o",1
97,"Puan menjelaskan, yang dibutuhkan rakyat saat ini bukanlah perbicangan penundaan pemilu atau perpanjangan presiden, tapi bagaimana harga-harga sembako tidak melonjak dan juga mudah didapatkan
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024
https://t.co/q63LJ6khc2",1
98,"""Tolak Tunda Pemilu, Puan dan Jokowi Segaris Instruksi Megawati"". 
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024
https://t.co/awZGUdXsHW",1
99,"""Tolak Tunda Pemilu, Puan dan Jokowi Segaris Instruksi Megawati"". 
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/CYoUVWvsYO",1
100,"Sebelumnya, Ketua DPR RI, Puan Maharani, menegaskan sikap politiknya untuk menolak penundaan pemilu. Sikap keduanya dinilai sebagai kader banteng sejati. #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/8FroiFicR4",1
101,"Puan Maharani mengapresiasi sikap Presiden Jokowi yang melarang para menterinya untuk membuat polemik di masyarakatÂ #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/UKgA69Xu5L",1
102,"Hendra menyimpulkan pertemuan Jokowi dan Puan merupakanÂ akhirÂ dari drama isu-isu pemilu yang tertunda. #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/aifrs6LyoZ",1
103,"pertemuan Jokowi dan Puan merupakan ending dari drama isu penundaan pemilu. Ini karena dua simbol dari legislatif dan eksekutif sudah duduk bersama dan mengkomunikasikan secara tegas penolakan penundaan pemilu
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/XRk0bxTrZi",1
104,"Ibu Puan menyuarakan tentang aspirasi masyarakat, yuu sama-sama kita bangkitkan kondisi saat ini #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/hhv2o3ycb0",1
105,Bu Puan mengapresiasi Pak Jokowi yang melarang menteri berbicara tentang penundaan pemilu #JokowiBersamaPuan Tolak Tunda Pemilu 2024 https://t.co/hc9RxLPSNa,1
106,"Jaman pandemi sekarang jangan dipersulit dehh, bagus banget nih bu Puan menyuarakan aspirasi masyarakat #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/ltS1aaX0Sl",1
107,"Setuju banget gua sama ibu Puan untuk menyuarakan aspirasi masyarakat #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/zczK6Fnc6Q",1
108,"Dia menyebut Puan seiring sejalan dengan sikap partainya untuk menolak penundaan pemilu dari jauh-jauh hari.
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024
https://t.co/DxpjqNpa0o",1
109,"Dengan presiden melarangnya berbicara tentang isu-isu yang tertunda-tunda pemilu, Hendra menduga telah terjadi kesepahaman antara Puan dan Jokowi, yakni sama-sama menunda pemilu. #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/udBuw4B4Zp",1
110,"Luthfi menyebut datangnya Puan menemui Jokowi adalah sebuah langkah politis. 
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/jmnH8jKOR3",1
111,"Puan menyuarakan agar kondisi dan tantangan yang membuat rakyat sulit merasakan pemulihan ekonomi untuk saat ini #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/AOWbEpkidt",1
112,"pertemuan Jokowi dan Puan tersebut merupakan tindakan komunikasi politik terkait wacana penundaan pemilu.
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/oFpqtfczT9",1
113,"Untuk sikap Jokowi yang melarang para mentri membuat polemik di masyarakat, Puan sangat mengapresiasi sikap tersebut #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/DJTaE11Qx6",1
114,"Puan meminta pemerintah untuk stabilkan harga bahan pokok
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/bGZVeMPmP0",1
115,"Bu Puan memimta Menteri untuk manut perintah jokowi untuk tidak membicarakan soal pemilu 2024 
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/rdH66QRYe2",1
116,"Puan Maharani mendesak pemerintah untuk menstabilkan harga pangan #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/ipoLcGV2fA",1
117,"Puan menjelaskan, yang dibutuhkan rakyat saat ini bukanlah perbicangan penundaan pemilu atau perpanjangan presiden, tapi bagaimana harga-harga sembako tidak melonjak dan juga mudah didapatkan.
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024
Â https://t.co/AU0nfLU5Us",1
118,"antara Presiden Joko Widodo dan Ketua DPR RI Puan Maharani di Istana Bogor, Jawa Barat, Rabu kemarin (6/4) menutup kemungkinan dan upaya oknum-oknum tertentu menunda Pemilu Serentak 2024. #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/8H3oVsrZWQ",1
119,"Menurut Hendra, pertemuan kepala negara dengan Puan terjadi setelah Jokowi memperingatkan menterinya untuk tidak lagi berwacana di publik terkait penundaan pemilu dalam Rapat Kabinet Paripurna di Istana Merdeka.
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/7aPiykjb8n",1
120,"Puan Maharani mengapresiasi sikap Presiden Jokowi yang melarang para menterinya untuk membuat polemik di masyarakat terkait wacana penundaan pemilu atau perpanjangan masa jabatan Presiden.
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/WPvvtt56XV",1
121,"Sikap Puan dan Pak Jokowi ini dinilai segaris dengan instruksi Megawati.
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/z8dpBQ4RZM",1
122,"Dengan presiden melarang menterinya berbicara isu penundaan pemilu, Hendra menduga telah terjadi kesepahaman antara Puan dan Jokowi, yakni sama-sama menolak penundaan pemilu.
#JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/001DtHK7HC",1
